Location,y,x,Basin,Fish Rank,Invert Rank,Priority,Purpose,Metabarcoding_fws,Metabarcoding_all
"Buffalo, NY",42.87565981,-78.87594958,Lake Erie,3,8,High,Early Detection Monitoring,50,
"Rochester, NY",43.253932,-77.57327,Lake Ontario,5,16,High,Early Detection Monitoring,50,
"Oswego, NY",43.463629,-76.5206,Lake Ontario,6,22,High,Early Detection Monitoring,50,
"Erie, PA",42.13624552,-80.09979865,Lake Erie,27,25,High,Early Detection Monitoring,30,
"North Tonawanda, NY",43.03573914,-78.84214346,Lake Erie,29,46,Moderate,Early Detection Monitoring,20,
"Upper Niagara River, NY/ON",43.02758354,-78.98874301,Lake Erie,54,67,Moderate,Early Detection Monitoring,20,
"Sodus Bay, NY",43.2648911,-76.98096074,Lake Ontario,57,64,Moderate,Early Detection Monitoring,20,
"Thousand Islands, NY/ON",44.250826,-76.087418,Lake Ontario,71,68,Low,Early Detection Monitoring,,
"Dunkirk, NY",42.48772178,-79.33188668,Lake Erie,76,77,Low,Early Detection Monitoring,15,
"Lower Niagara River, NY/ON",43.233587,-79.054097,Lake Ontario,81,86,Low,Early Detection Monitoring,,
"Oak Orchard Creek, NY",43.364257,-78.192469,Lake Ontario,84,101,Low,Early Detection Monitoring,,
"Cattaragaus Creek, NY",42.56755934,-79.1154136,Lake Erie,94,126,Low,Early Detection Monitoring,15,
"Massena, NY/ON",45.002239,-74.792409,Lake Ontario,124,189,Low,Early Detection Monitoring,,
"Buffalo, NY",42.87565981,-78.87594958,Lake Erie,3,8,High,Targeted,10,
"Rochester, NY",43.253932,-77.57327,Lake Ontario,5,16,High,Targeted,10,
"Braddock Bay, NY",43.307337,-77.717063,Lake Ontario,5,16,Low,Targeted,,
"Oswego, NY",43.464136,-76.521203,Lake Ontario,6,22,Medium,Targeted,20,
"Erie, PA",42.13624552,-80.09979865,Lake Erie,27,25,Moderate,Targeted,,
"North Tonawanda, NY",43.03573914,-78.84214346,Lake Erie,29,46,High,Targeted,10,
"Sodus Bay, NY",43.265536,-76.967893,Lake Ontario,56,58,Medium,Targeted,,
"Dunkirk, NY",42.48772178,-79.33188668,Lake Erie,76,77,Moderate,Targeted,,
"Lower Niagara River, NY/ON",43.233587,-79.054097,Lake Ontario,81,86,Medium,Targeted,20,
"Oak Orchard Creek, NY",43.364257,-78.192469,Lake Ontario,84,101,High,Targeted,20,
"Cattaragaus Creek, NY",42.56755934,-79.1154136,Lake Erie,94,126,High,Targeted,,
"Massena, NY/ON",45.002239,-74.792409,Lake Ontario,124,189,High,Targeted,110,
"Eighteen Mile Creek, NY",43.33813,-78.718518,Lake Ontario,,,High,Targeted,10,
"Salmon River Estuary, NY",43.569086,-76.203276,Lake Ontario,,,High,Targeted,20,
"Port Bay, NY",43.300779,-76.836209,Lake Ontario,,,Low,Targeted,,
"Little Sodus Bay, NY",43.330715,-76.705863,Lake Ontario,,,Low,Targeted,,
,,,,,,,Total,500,
